University,Latitude,Longitude,Address
Chhatrapati Shahu Ji Maharaj University,26.5030118,80.26783867,"Chhatrapati Shahu Ji Maharaj University, Buddha Park Access Rd., Kanpur, Kanpur Nagar, Uttar Pradesh, 208024, India"
Children's University,17.4328865,78.3994454,"The Loharu Montessori Children's House, 869, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033, Road No. 44, Silent Valley Hills, Ward 95 Jubilee Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500033, India"
Chitkara  University,30.51571185,76.65919462,"Chitkara University, NH7, Jansla, Rajpura Tahsil, Patiala, Punjab, 140401, India"
Chitkara University,30.51571185,76.65919462,"Chitkara University, NH7, Jansla, Rajpura Tahsil, Patiala, Punjab, 140401, India"
Christ,28.6839614,77.41044298,"Christ (Deemed to be University), Ghaziabad Bypass, Ghaziabad, Uttar Pradesh, 201003, India"
Cluster University,12.979603,77.58367636,"Maharani Cluster University, Palace Road, Balepet, Gandhinagar, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India"
CMR University,13.0193897,77.64230676,"CMR University, 6th A Main Road, Kalyan Nagar, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560043, India"
"COER University, Roorkee",29.89054285,77.95945525,"College Of Engineering Rurkee (COER) University, NH334, Roorkee, Haridwar, Uttarakhand, 247667, India"
Cooch Behar Panchanan Barma University,26.3215381,89.4695667,"Cooch Behar Panchanan Barma University, Vivekananda Street, Cooch Behar - I, Koch Bihār, Cooch Behar, West Bengal, 736101, India"
Cotton University,26.18728425,91.74669628,"Cotton University, Ananda Ram Baruah Road, Pan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781015, India"
D Y Patil International University,18.6458827,73.7601197,"D. Y. Patil International University, Gurudwara-Biajli Nagar Road, Pimpri-Chinchwad, Haveli, Pune, Maharashtra, 411044, India"
D. Y. Patil,16.71212235,74.24100064,"D.Y.Patil, Dadasaheb Patil Kaulavkar Marg, Tarabai Park, Shivaji Park, Kolhapur, Karvir, Kolhapur, Maharashtra, 416003, India"
D. Y. Patil University,18.6458827,73.7601197,"D. Y. Patil International University, Gurudwara-Biajli Nagar Road, Pimpri-Chinchwad, Haveli, Pune, Maharashtra, 411044, India"
